,title,hits
91,마트에서 깻잎 보이면 무조건 담아오세요.👍👍 집에 있는 쌀통이 텅텅 빕니다. 깻잎요리 3가지 강쉪.,418260
64,P의 연애,385520
9,P의 연애,385520
16,"[나 혼자 산다] 깡 🍶 술 마시는 지효를 찾아온 찐친 트와이스 정연 😍 어딘가로 향하는 둘?!, MBC 230818 방송",340692
61,If I have you only (My love X Nerd Connection) (그대만 있다면 (여름날 우리 X...,339047
70,[후토크] 추멘 “이런 토트넘 축구는 처음” 맨유 압도했던 NEW 토트넘의 놀라운 경기력!!,336613
6,[후토크] 추멘 “이런 토트넘 축구는 처음” 맨유 압도했던 NEW 토트넘의 놀라운 경기력!!,336613
95,세상에 이런 방법이... ✔정말 맛있고 간단해서 두 번 놀라는,325611
49,"식욕이 무기력을 이겨버린 일상/ 불닭볶음탕면 + 통삼겹살구이 / 한강 치킨+라면 / 설빙 / 오징어김밥, 아욱된장국, 샤브샤브, 오므라이스",295073
24,떼창 [폼미쳤다]❗️ 영탁이 [찐이야] 외친 신촌 떼창 🔥 | 떼창의 민족 | Sing-along Busking,293051
46,가지 이제 찌지말고 이렇게 해 보세요 오래두어도 쫄깃해요,287115
85,가지 이제 찌지말고 이렇게 해 보세요 오래두어도 쫄깃해요,287115
14,남반구만 가면 풀파워 🇪🇸🛳 / 2023 FIFA 호주·뉴질랜드 여자월드컵 결승전 스페인 vs 잉글랜드 [습츠_여자월드컵],283991
21,실리카겔 (Silica Gel) - T + Tik Tak Tok (feat. So!YoON!) [MV],281198
22,[아이유의 팔레트🎨] '넬'도 '넬'모레도 '넬'하세요 (With 넬) Ep.22,269089
45,드릴말씀 있어요,267662
39,아직 말은 안 통하지만 이젠 우리집 막내야,257085
35,VLOG 하루종일 엄마!!외치는 8개월아기😍피곤에 찌든 남편과 주말육아😵,248433
25,"[하이라이트] 16기 상철💗영숙 설렘 모먼트 모음zip! 🤖 printf(""썸""); 입력합니다 | 나는 솔로 SOLO | ENA 채널 | 매주 수요일 밤 10시 30분",222013
42,하루 종일 한 가지 맛으로 만 살아남기! 어떤 맛이 제일 맛있을까?!,170520
26,인테리어의神 박서진ㅣ건어물 가게에 담은 반년의 진심,139150
